,field_1,ID,region,locality,sites,Kulbicki,PROVINCE,xxx,temp,Richness,grav_total,Age_of_pro,Class,biomassare,ModelMode,OutFlow,Outdegree,btwdegree,SelfR,Inflow,Indegree,CorridorIn,grav_nei,IndegreeMP,InflowMPA,IndegreeNe,InflowNei,Larval_beh,FE,Netflow,Kulbicki.1,PROVINCE.1,Lon,Lat,prod.Jan,prod.Feb,prod.Mar,prod.Apr,prod.May,prod.Jun,prod.Jul,prod.Aug,prod.Sep,prod.Oct,prod.Nov,prod.Dec
29,29,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,crypto5,2535,104,10510.38078,16,2453,124,15,1002,53,1250,79.08064516,1715.451613,active,crypto,0.016439455,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
30,30,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,crypto15,1018,21,2975.25,0,886,19,2,158,6,302,15.89473684,742.7894737,active,crypto,0.069327731,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
31,31,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,resid,1465,60,1483.13978,15,975,59,3,492,26,450,42.11864407,787.1186441,passive,resid,0.200819672,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
32,32,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,resid15,1237,122,43600.13802,21,1453,156,17,1135,62,578,100.3461538,916.4166667,active,resid,-0.080297398,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
33,33,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,resid35,238,73,1208.682991,4,227,107,11,737,42,83,71.08411215,247.2242991,active,resid,0.023655914,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
34,34,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,transi,450,20,4057.10548,15,405,18,3,92,9,225,6.277777778,175,passive,transi,0.052631579,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
35,35,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,transi15,717,32,1258.321549,0,561,48,9,487,18,285,22.64583333,565.375,active,transi,0.122065728,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
36,36,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,transi35,296,21,3859.819464,0,552,50,10,287,24,248,12.6,263.36,active,transi,-0.301886792,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
37,37,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,pare,1964,62,2975.737166,54,6096,138,24,1018,58,2424,56.05072464,1780.811594,passive,pare,-0.512655087,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
38,38,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,pare5,1672,42,2669.312154,684,4326,52,20,83,31,2370,51.78846154,1435.307692,active,pare,-0.442480827,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
39,39,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,pare15,1263,47,5214.282476,246,4917,88,24,229,49,2277,44.02272727,834.5795455,active,pare,-0.591262136,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
40,40,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,crypto,1405,74,5999.770314,205,9655,127,34,1044,51,3295,68.88976378,1581.535433,passive,crypto,-0.745931284,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
41,41,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,crypto5,2403,65,5972.041366,514,5191,101,32,510,54,2512,92.69306931,1802.821782,active,crypto,-0.367131946,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
42,42,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,crypto15,948,14,3486.333333,182,3836,42,18,112,19,1620,22.35714286,1299.428571,active,crypto,-0.60367893,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
43,43,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,resid,1810,62,2908.889023,85,8340,138,25,1018,58,3160,56.05072464,1674.855072,passive,resid,-0.643349754,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
44,44,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,resid15,1278,101,4002.506568,146,4573,165,51,567,91,1956,113.8,1069.515152,active,resid,-0.563151598,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
45,45,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,resid35,375,82,10850.66236,28,2365,129,37,824,51,919,75.62790698,390.4496124,active,resid,-0.726277372,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
46,46,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,transi,405,8,882.1662571,30,3510,43,11,1504,16,1125,13.60465116,1209.069767,passive,transi,-0.793103448,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
47,47,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,transi15,348,15,110.4953842,81,2547,29,7,138,13,801,35.96551724,1030.655172,active,transi,-0.759585492,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
48,48,V10463,sw_pacific,new_caledonia,new_caledonia_5,Central Pacific,Tropical Southwestern Pacific,163.96,25.92937784,106.391,2,11,Restricted,38.41327332,transi35,320,10,2159.313694,24,1920,38,12,191,14,600,17.42105263,915.5789474,active,transi,-0.714285714,Central Pacific,Tropical Southwestern Pacific,163.96,-19.94,612.3907471,601.0089111,593.2402954,645.2633667,717.4665527,698.4577026,670.7612915,593.4551392,617.765625,605.9112549,615.3572998,539.7283325
49,49,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,pare,2428,87,12992.62343,0,2094,76,11,882,29,806,46.71052632,1405.552632,passive,pare,0.073861123,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
50,50,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,pare5,2004,53,4990.381863,2,2550,85,37,1466,58,1750,50.88235294,1284.188235,active,pare,-0.119894598,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
51,51,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,pare15,951,61,6244.288755,0,498,47,12,157,29,339,39.06382979,485.6170213,active,pare,0.3126294,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
52,52,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,crypto,1005,79,20659.16062,0,1285,109,25,805,44,405,69.62385321,1575.458716,passive,crypto,-0.122270742,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
53,53,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,crypto5,2392,111,22155.58104,0,1954,150,48,510,81,1259,88.14666667,1575.406667,active,crypto,0.100782329,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
54,54,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,crypto15,929,18,10339.16667,0,539,13,4,47,6,248,16.23076923,701.4615385,active,crypto,0.265667575,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
55,55,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,resid,1720,87,13045.22169,0,1435,76,12,882,29,565,46.71052632,1197.434211,passive,resid,0.090332805,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
56,56,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,resid15,956,148,23205.57463,0,908,177,45,1179,84,445,101.9322034,1005.615819,active,resid,0.025751073,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
57,57,V10478,sw_pacific,new_caledonia,new_caledonia_2,Central Pacific,Tropical Southwestern Pacific,165.8,26.18471463,142.026,1,5,Restricted,311.634362,resid35,252,101,15627.23674,0,322,121,28,1205,44,110,62.7107438,221.892562,active,resid,-0.12195122,Central Pacific,Tropical Southwestern Pacific,165.8,-19.94,275.7977905,262.2263489,270.2904053,274.8309631,310.2542114,340.1838989,354.4060059,348.0276794,312.5653381,288.0284729,298.4531555,266.3797607
